,IMU_ACCEL_TIME,IMU_ACCEL_X,IMU_ACCEL_Y,IMU_ACCEL_Z,IMU_COMPASS_X,IMU_COMPASS_Y,IMU_COMPASS_Z,IMU_GPS_ALTITUDE,IMU_GPS_COURSE,IMU_GPS_LATITUDE,IMU_GPS_LONGITUDE,IMU_GPS_SPEED,IMU_GYRO_X,IMU_GYRO_Y,IMU_GYRO_Z,IMU_LOCAL_TIME_MS,IMU_VELOCITY_EAST,IMU_VELOCITY_NORTH,IMU_VELOCITY_UP,KALMAN_FILTER,TIMESTAMP,_id
2204,0.0,-0.0016649950764095409,-0.013969661258240229,0.8678922565877437,0.67330002784729,-0.30787134170532227,-0.35133442282676697,0.0,0.0,0.0,0.0,0.0,-9.620268923450435e-05,-0.00026242802385357075,3.790097601032146e-05,0.0,0.0,0.0,0.0,False,1520927367273.0,5aa78287ea50c8226d3a7968
2205,0.0,-0.0016649950764095409,-0.013969661258240229,0.8678922565877437,0.67330002784729,-0.30787134170532227,-0.35133442282676697,0.0,0.0,0.0,0.0,0.0,-9.620268923450435e-05,-0.00026242802385357075,3.790097601032146e-05,0.0,0.0,0.0,0.0,False,1520927367327.0,5aa78287ea50c8226d3a7969
2206,0.0,-0.002346493029185804,-0.013884230644116178,0.8678220555087923,0.6833356618881226,-0.3057429790496826,-0.35194897651672363,0.0,0.0,0.0,0.0,0.0,-9.876883609942473e-05,-0.00010385516819414394,-6.57869383852844e-05,0.0,0.0,0.0,0.0,False,1520927367383.0,5aa78287ea50c8226d3a796a
2207,0.0,-0.0020122919537709093,-0.01376376342259813,0.8670747442728282,0.6813952922821045,-0.3117097020149231,-0.3543055057525635,0.0,0.0,0.0,0.0,0.0,-0.0002208723598901915,-0.00017424040920290408,-6.916239103722976e-05,0.0,0.0,0.0,0.0,False,1520927367446.0,5aa78287ea50c8226d3a796b
2208,0.0,-0.0020122919537709093,-0.01376376342259813,0.8670747442728282,0.6813952922821045,-0.3117097020149231,-0.3543055057525635,0.0,0.0,0.0,0.0,0.0,-0.0002208723598901915,-0.00017424040920290408,-6.916239103722976e-05,0.0,0.0,0.0,0.0,False,1520927367498.0,5aa78287ea50c8226d3a796c
2209,0.0,-0.002525127485251287,-0.013525591758806257,0.8664996331855654,0.6783413887023926,-0.3151198625564575,-0.34940794110298157,0.0,0.0,0.0,0.0,0.0,6.21768336734246e-05,5.680425077267064e-05,3.789558922086069e-05,0.0,0.0,0.0,0.0,False,1520927367557.0,5aa78287ea50c8226d3a796d
2210,0.0,-0.002525127485251287,-0.013525591758806257,0.8664996331855654,0.6783413887023926,-0.3151198625564575,-0.34940794110298157,0.0,0.0,0.0,0.0,0.0,6.21768336734246e-05,5.680425077267064e-05,3.789558922086069e-05,0.0,0.0,0.0,0.0,False,1520927367617.0,5aa78287ea50c8226d3a796e
2211,0.0,-0.0024896593363059214,-0.014190196800641713,0.867123434946239,0.6765855550765991,-0.31883955001831055,-0.35316774249076843,0.0,0.0,0.0,0.0,0.0,0.00022051845074845525,5.682399041395355e-05,9.298232540453571e-05,0.0,0.0,0.0,0.0,False,1520927367688.0,5aa78287ea50c8226d3a796f
2212,0.0,-0.0019481621392909436,-0.014371531017185187,0.8672027545666694,0.671820878982544,-0.31223398447036743,-0.35323366522789,0.0,0.0,0.0,0.0,0.0,-4.5514934711469424e-05,0.0001621737537401744,3.769238339779235e-05,0.0,0.0,0.0,0.0,False,1520927367747.0,5aa78287ea50c8226d3a7970
2213,0.0,-0.0019481621392909436,-0.014371531017185187,0.8672027545666694,0.671820878982544,-0.31223398447036743,-0.35323366522789,0.0,0.0,0.0,0.0,0.0,-4.5514934711469424e-05,0.0001621737537401744,3.769238339779235e-05,0.0,0.0,0.0,0.0,False,1520927367807.0,5aa78287ea50c8226d3a7971
